date,players,viewers
19-10-13,633034,139630
19-10-20,633985,144965
19-10-27,600967,157749
19-11-03,612576,96868
19-11-10,605063,103385
19-11-17,670224,102537
19-11-24,662883,137260
19-12-01,660534,223281
19-12-08,671714,182881
19-12-15,672380,146213
19-12-22,687636,82884
19-12-29,727507,76122
20-01-05,736337,108116
20-01-12,728337,95808
20-01-19,733563,101724
20-01-26,735243,144301
20-02-02,771521,217597
20-02-09,800390,146129
20-02-16,795927,117861
20-02-23,826051,402818
20-03-01,842214,231128
20-03-08,876831,116513
20-03-15,1023098,254131
20-03-22,1087423,307995
20-03-29,1183937,345797
20-04-05,1222982,406996
20-04-12,1278541,221109
20-04-19,1237974,256535
20-04-26,1187378,294116
