date,players,viewers
19-10-13,618289,67534
19-10-20,571784,109737
19-10-27,572262,73781
19-11-03,602237,72008
19-11-10,564492,81105
19-11-17,570426,138143
19-11-24,628550,143002
19-12-01,602742,146620
19-12-08,550734,67112
19-12-15,546728,100260
19-12-22,574298,77067
19-12-29,579422,54794
20-01-05,558526,101861
20-01-12,524179,130804
20-01-19,533972,226909
20-01-26,572275,121986
20-02-02,606986,74747
20-02-09,607086,152378
20-02-16,598742,123002
20-02-23,612397,108773
20-03-01,620998,104720
20-03-08,637036,115304
20-03-15,658936,96650
20-03-22,674825,130484
20-03-29,712430,119870
20-04-05,732569,163893
20-04-12,730664,205409
20-04-19,732072,148815
20-04-26,703336,162104
