date,players,viewers
19-10-13,88859,112070
19-10-20,86296,100958
19-10-27,92904,96342
19-11-03,107847,95388
19-11-10,112014,112235
19-11-17,108215,103905
19-11-24,104315,100053
19-12-01,116278,95539
19-12-08,124173,107025
19-12-15,155140,103704
19-12-22,182518,104482
19-12-29,189686,118217
20-01-05,161956,126417
20-01-12,141892,114890
20-01-19,140912,117407
20-01-26,195311,120346
20-02-02,241812,116656
20-02-09,226661,113857
20-02-16,206462,115522
20-02-23,193590,118048
20-03-01,166458,129493
20-03-08,155750,121986
20-03-15,159897,136866
20-03-22,185195,160840
20-03-29,202357,179692
20-04-05,183774,206332
20-04-12,184533,206122
20-04-19,168807,210170
20-04-26,157121,240925
