date,players,viewers
13-10-19,63960,2184
20-10-19,61920,1016
27-10-19,61383,794
03-11-19,60229,1211
10-11-19,58541,899
17-11-19,54638,832
24-11-19,57502,598
01-12-19,54297,697
08-12-19,63509,873
15-12-19,81178,660
22-12-19,82766,4803
29-12-19,79457,1620
05-01-20,70122,766
12-01-20,67143,965
19-01-20,67856,795
26-01-20,66402,759
02-02-20,66390,701
09-02-20,65312,619
16-02-20,67062,612
23-02-20,71885,517
01-03-20,72425,895
08-03-20,75404,979
15-03-20,80532,631
22-03-20,80195,801
29-03-20,79147,10323
05-04-20,77254,1719
12-04-20,79455,1265
19-04-20,80259,1072
26-04-20,72862,1055
